DACNAME;PLATFORM;LAUNCH_DATE;FORMAT_VERSION;TRANS_SYSTEM;PLATFORM_TYPE;PLATFORM_MODEL;CONTROLLER_BOARD;FIRMWARE_VERSION;DAC_FORMAT_ID;STANDARD_FORMAT_ID;WMO_INST_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;OPERATING_INSTITUTION;DATE_LAST_CT;LAST_CY_R;LAST_CY_D;LAST_CY_BR;LAST_CY_BD
bodc;3901943;2017-09-20;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8507;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-05;118;040;_;_
bodc;3901944;2017-09-22;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8511;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-07;118;045;_;_
bodc;3901945;2017-11-04;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8573;Romain Cancouet;MOCCA-EU;Euro-Argo;2020-12-10;114;041;_;_
bodc;3901951;2017-09-28;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8554;Andy Rees;MOCCA-EU;Euro-Argo;2020-12-13;118;039;_;_
bodc;3901954;2017-10-09;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8609;Andy Rees;MOCCA-EU;Euro-Argo;2020-06-24;106D;071;_;_
bodc;3901955;2017-10-13;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8610;Andy Rees;MOCCA-EU;Euro-Argo;2020-12-08;116;045;_;_
bodc;3901956;2017-10-15;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8612;Andy Rees;MOCCA-EU;Euro-Argo;2020-12-10;116;037;_;_
bodc;3901964;2017-07-25;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8607;Romain Cancouet;MOCCA_EU;Euro-Argo;2020-12-10;153;077;_;_
bodc;3901965;2017-07-25;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8648;Romain Cancouet;MOCCA_EU;Euro-Argo;2020-12-10;153;075;_;_
bodc;3901970;2018-07-20;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8658;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-08;088;042;_;_
bodc;3901971;2018-07-23;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8757;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-11;088;039;_;_
bodc;3901972;2017-12-25;3.1;IRIDIUM;ARVOR;X;I535;5900A04;N33AR;102005;844;SBE41CP_V7.2.5;8758;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-12;109;038;_;_
bodc;3901980;2018-05-08;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8748;Josep Lluis Pelegri;MOCCA-EU;EURO-ARGO;2020-12-10;118;072;_;_
bodc;3901982;2018-05-02;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8750;Josep Lluis Pelegri;MOCCA-EU;EURO-ARGO;2020-12-14;119;069;_;_
bodc;3901983;2018-04-29;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8752;Josep Lluis Pelegri;MOCCA-EU;EURO-ARGO;2020-12-11;119;073;_;_
bodc;3901984;2018-08-26;3.1;IRIDIUM;ARVOR;X;I535;5900A01;N33AR;102005;844;SBE41CP_V7.2.5;8753;Romain Cancouet;MOCCA-EU;EURO-ARGO;2020-12-12;088;042;_;_
